Row	Id RNE	Nom	Prenom	Attribut	ValAvt	ValApr	Commentaire
33874	671	TANGUY	Hélène	Date de fin de la fonction	1/7/0012	1/7/2012	Typo dans la date
80256	47125	BOYER	Jean-Marc	Date de fin de la fonction	20/10/0017	20/10/2017	Typo dans la date
106878	80360	SENECHAULT	Jean-Paul	Date de fin de la fonction	22/3/0013	22/3/2013	Typo dans la date
106945	90614	BRIE	Simon	Date de début de la fonction	25/3/0201	25/3/2001	Typo dans la date
1258	106532	BOLON	André	Date de fin de la fonction	20/9/0014	20/9/2014	Typo dans la date
1126	106573	JANIER	Jacques	Date de fin de la fonction	27/2/0013	27/2/2013	Typo dans la date
15385	147305	MULLOIS	Dominique	Date de fin de la fonction	20/3/0015	20/3/2015	Typo dans la date
72008	152251	MUSELET	Bernard	Date de début de la fonction	16/3/0020	16/3/2000	Typo dans la date
68294	153412	GERARD	Jean-Claude	Date de début de la fonction	13/3/0983	13/3/1983	Typo dans la date
64153	154678	JACQUEL	Denis	Date de fin du mandat	14/10/0201	14/10/2010	Ou est-ce plutôt 2014 ?
53616	157950	ARRETEAU	Paula	Date de fin de la fonction	15/1/0012	15/1/2012	Typo dans la date
111370	163176	MANG	Jean-Jacques	Date de début de la fonction	16/3/0200	16/3/2001	Typo dans la date
107870	164229	CHABRIER	Yves	Date de début de la fonction	25/3/0201	25/3/2001	Typo dans la date
105668	164780	AUPHAN	Philippe	Date de début de la fonction	1/2/3003	1/2/2003	Typo dans la date
96743	167343	DUBOS	René	Date de début de la fonction	16/3/0201	16/3/2001	Typo dans la date
96424	167452	DUCROCQ	Christian	Date de début de la fonction	24/3/0201	24/3/2001	Typo dans la date
96221	167508	MAILLARD	Philippe	Date de début de la fonction	16/3/0200	16/3/2001	Typo dans la date
95969	167575	NOEL	François-Mary	Date de début de la fonction	17/3/0201	17/3/2001	Typo dans la date
95980	167578	PLAILLY	Christian	Date de début de la fonction	23/3/0201	23/3/2001	Typo dans la date
